Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
423548893.pdf,Ocularcentrism and deepfakes: Should seeing be believing?,K Geddes,"Entertainment (movies, social media), Identity theft/fraud, Political manipulation, Pornography, Education, Art/creativity",Deepfakes are artificial images or videos that use realistic face swapping to impersonate individuals.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are replaced between individuals.",Deceptive,Deepfakes in the paper are used for deceptive purposes such as fraud and identity theft.,Visual,The paper focuses on visual media types like images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,27,2020,Fordham Intell. Prop. Media &Ent. LJ,HeinOnline,"https://scholar.google.com/scholar?q=related:vGxDSxIvKloJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Deepfakes and Domestic Violence Perpetrating Intimate Partner Abuse Using Video Technology.pdf,Deepfakes and domestic violence: perpetrating intimate partner abuse using video technology,KT Lucas,"Intimate partner abuse, specifically using non-consensual intimate images or videos",Artificially generated video content that manipulates faces and situations to misrepresent identities or events,Original-to-Target Transfer,"The paper discusses realistic face swapping where identities are replaced between individuals, falling under original-to-target transfer.",Deceptive,The intent is deceptive as these deepfakes are used for harmful purposes like abuse and fraud.,Visual,"The focus is on video-based visual content, hence classified as Visual.",Holistic,No reasoning provided,45,2022,Victims &Offenders,Taylor &Francis,"https://scholar.google.com/scholar?q=related:aGKRnjUTFZ4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RRY3Q92Q_Bird and Lotfi - 2023 - Real-time detection of ai-generated speech for deepfake voice conversion.pdf,Real-time detection of ai-generated speech for deepfake voice conversion,"JJ Bird, A Lotfi",Voice manipulation and identity impersonation,AI-generated audio that mimics real human speech to mimic or alter identities.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Audio,No reasoning provided,Holistic,No reasoning provided,32,2023,arXiv preprint arXiv:2308.12734,arxiv.org,"https://scholar.google.com/scholar?q=related:gpQg8tIAe3sJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
JB3XEXQL_Zhao et al. - 2021 - MFF-Net Deepfake detection network based on multi-feature fusion.pdf,MFF-Net: Deepfake detection network based on multi-feature fusion,"L Zhao, M Zhang, H Ding, X Cui","Entertainment (movies, social media), Identity theft/fraud",AI-generated videos with manipulated identities used for deceptive purposes,Original-to-Target Transfer,"The paper discusses deepfakes involving identity replacement, focusing on face swapping between individuals.",Deceptive,The detection methods aim to identify malicious deepfakes used for fraud and identity theft.,Visual,"The deepfakes are visual in nature, specifically videos.",Both Targeted and Holistic,No reasoning provided,28,2021,Entropy,mdpi.com,"https://scholar.google.com/scholar?q=related:1L-GKtiyCCwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S1110866524000987-main.pdf,Deepfake detection: Enhancing performance with spatiotemporal texture and deep learning feature fusion,"A Almestekawy, HH Zayed, A Taha","Entertainment (social media, content moderation)",Artificially generated videos that manipulate digital content for deceptive purposes such as identity theft or fraud.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred between individuals (Aï¿½ï¿½",Deceptive,"The detection model aims to ensure authenticity in digital content, which is a non-deceptive application.",Visual,The paper focuses on video-based visual deepfakes for manipulation.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,6,2024,Egyptian Informatics Journal,Elsevier,"https://scholar.google.com/scholar?q=related:nornVFfQRcgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
HTX88AXX_Ulutas et al. - 2023 - Deepfake audio detection with vision transformer based method.pdf,Deepfake audio detection with vision transformer based method,"G Ulutas, G Tahaoglu…",Audio,Artificially generated audio files that are manipulated to appear as if they were recorded by someone else.,Original Modification,The paper discusses audio deepfakes that involve manipulating the audio content to appear as if it was recorded by someone else.,Deceptive,"The intent is to detect these deepfakes, which are often used for malicious purposes such as bypassing security systems.",Visual,The paper focuses on converting audio into visual representations (spectrograms) for analysis.,Targeted Attribute,"The method uses a vision transformer to classify spectrogram images, implying holistic manipulation of the entire audio representation.",18,2023,2023 46th International …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:uLli0GCQVKEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"GTGD5WVR_Seta - 2021 - Huanlian, or changing faces Deepfakes on Chinese digital media platforms.pdf","Huanlian, or changing faces: Deepfakes on Chinese digital media platforms",G De Seta,"['Entertainment (social media)', 'Identity theft/fraud', 'Political manipulation', ' Pornography', 'Art/creativity', 'Education']",Deepfakes are synthetic media created by altering or swapping faces in images or videos to create deceptive content.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,30,2021,Convergence,journals.sagepub.com,"https://scholar.google.com/scholar?q=related:g_OTy8R8TfUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
IM2QPGRL_Taylor - 2021 - Defending the state from digital Deceit the reflexive securitization of deepfake.pdf,Defending the state from digital Deceit: the reflexive securitization of deepfake,BC Taylor,"Social media, political communication, disinformation campaigns",Deepfakes are artificial face swapping technologies used to replace identities in social media and political contexts.,Original-to-Target Transfer,"The paper discusses deepfakes used for identity replacement in social media, fitting the original-to-target transfer category.",Non-deceptive,Deepfakes are analyzed as tools contributing to fear and anxiety rather than malicious intent.,Visual,The focus is on visual deepfakes in social media contexts.,Holistic,No reasoning provided,32,2021,Critical Studies in Media Communication,Taylor &Francis,"https://scholar.google.com/scholar?q=related:CPwIpVuWZqcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
applsci-12-09820-v2.pdf,A novel deep learning approach for deepfake image detection,"A Raza, K Munir, M Almutairi","Cybercrimes such as identity theft, financial fraud, fake news, and malicious impersonation",Deepfakes are artificial images or videos that manipulate real identities to deceive users.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and voice cloning, which are examples of original-to-target identity transfer.",Deceptive,The intent is to detect malicious deepfakes used for fraudulent purposes such as cybercrimes.,Multimodal,"The paper covers both visual (images) and audio (voice) deepfakes, making it multimodal.",Holistic,The deepfakes involve holistic transformations of entire identities rather than specific attribute changes.,123,2022,Applied Sciences,mdpi.com,"https://scholar.google.com/scholar?q=related:iDTwwdBbaz4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
YHCD77CA_Patel et al. - 2023 - DeepFake Videos Detection and Classification Using Resnext and LSTM Neural Network.pdf,DeepFake Videos Detection and Classification Using Resnext and LSTM Neural Network,"S Patel, SK Chandra, A Jain",Political Manipulation,AI-altered videos meant to disseminate false information about individuals.,Original-to-Target Transfer,"The paper discusses deepfakes used for spreading false information, which often involves altering existing faces to impersonate others.",Deceptive,The intent is deceptive as the deepfakes are used for spreading false information and propaganda.,Visual,The focus is on video-based visual deepfakes.,Both Targeted and Holistic,"While the paper doesn't specify, it's inferred that both targeted attribute changes (like face swapping) and holistic identity transformations are involved in detecting these deepfakes.",5,2023,2023 3rd International …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:04_aHybFroUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
3UCRN9RK_Shende et al. - 2021 - Using deep learning to detect deepfake videos.pdf,Using deep learning to detect deepfake videos,"A Shende, S Paliwal, TK Mahay","The paper discusses how deepfakes are used for detection purposes, specifically in identifying fake videos.","Deepfakes are AI-generated videos that use realistic face swapping to create appearances of real identities, often for deceptive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is an original-to-target transfer method.",Non-deceptive,The focus is on detecting deepfakes rather than creating them for malicious purposes.,Visual,The paper deals with video-based visual content where deepfakes are created.,Holistic,"The deepfakes involve replacing entire identities, which is a holistic approach.",12,2021,Turkish Journal of Computer …,search.proquest.com,"https://scholar.google.com/scholar?q=related:q7MU6xoql-sJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ESC7JCZP_Salini and HariKiran - 2024 - Deepfake videos detection using crowd computing.pdf,Deepfake videos detection using crowd computing,"Y Salini, J HariKiran",Social media and entertainment,"Artificially generated videos used to deceive or mislead, often involving realistic face swapping between individuals.",Original-to-Target Transfer,"The paper discusses deepfakes focused on face swapping, where identities are transferred from one person to another.",Deceptive,The intent is non-deceptive as the focus is on detecting these deepfakes rather than creating them for malicious purposes.,Visual,The deepfakes discussed are primarily visual media in the form of videos.,Holistic,"The deepfakes involve complete identity replacement, such as face swapping, which is a holistic manipulation.",6,2024,International Journal of Information Technology,Springer,"https://scholar.google.com/scholar?q=related:PRMYQKNEJUsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
5JTEJSR6_Rao et al. - 2022 - Deepfake creation and detection using ensemble deep learning models.pdf,Deepfake creation and detection using ensemble deep learning models,"S Rao, NA Shelke, A Goel, H Bansal",No specific applications mentioned in the paper,AI-generated videos that are fabricated to appear real but are actually fake.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which involves transferring identities between people.",Deceptive,The abstract mentions that these deepfakes are used to deceive and manipulate perceptions for harmful purposes.,Visual,The paper focuses on video-based visual deepfakes as its primary focus area.,Holistic,"The manipulation involves complete identity replacement, making it holistic.",7,2022,Proceedings of the 2022 …,dl.acm.org,"https://scholar.google.com/scholar?q=related:PC6rktm-3BYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
de_guzman_final_109_137_.pdf,Saving face: Lessons from the DMCA for combating deepfake pornography,J de Guzman,Non-consensual intimate images,"Artificially generated videos depicting realistic depictions of intimate scenes without consent, often used for harmful purposes.",Original-to-Target Transfer,"The paper discusses deepfakes where identities are replaced, such as in realistic depictions of intimate scenes.",Deceptive,"The focus is on creating content that can cause harm to victims, particularly through non-consensual pornography.",Visual,The paper focuses on video-based visual deepfakes used for depicting intimate scenarios.,Holistic,The deepfakes involve complete identity transformation rather than specific attribute changes.,9,2022,Gonz. L. Rev.,HeinOnline,"https://scholar.google.com/scholar?q=related:-TJjjjV1zhQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
ZU8MN6VZ_Jacobsen - 2025 - Deepfakes and the promise of algorithmic detectability.pdf,Deepfakes and the promise of algorithmic detectability,BN Jacobsen,"Primarily related to anxiety caused by potential harmful impact, with a focus on detection methods as tools for addressing deepfakes.","Artificially generated content that involves face swapping or identity replacement, often used to create anxiety regarding their harmful effects.",Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, fitting the original-to-target transfer category.",Non-deceptive,"The focus is on detection methods to address and mitigate issues related to deepfakes, not their use for deception.",Visual,The paper primarily discusses visual content in the form of images or videos used for face swapping.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,7,2025,European Journal of Cultural Studies,journals.sagepub.com,"https://scholar.google.com/scholar?q=related:6yqZcGVaWEgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
LQZDZ8GH_Khanjani et al. - 2023 - Audio deepfakes A survey.pdf,Audio deepfakes: A survey,"Z Khanjani, G Watson, VP Janeja","['Entertainment', 'Social media', 'Security and authentication']",Artificially generated audio content that manipulates voice or identity to deceive.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Audio,No reasoning provided,Holistic,No reasoning provided,80,2023,Frontiers in Big Data,frontiersin.org,"https://scholar.google.com/scholar?q=related:dg9rHeY06TsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
9SPEHFGE_Sharma et al. - 2024 - A systematic literature review on deepfake detection techniques.pdf,A systematic literature review on deepfake detection techniques,"VK Sharma, R Garg, Q Caudron","Entertainment (movies, social media), identity theft/fraud, political manipulation, pornography, education (historical figure recreation)",Artificially generated digital content that realistically alters or swaps identities in visual media.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are replaced between individuals (Aï¿½ï¿½",Deceptive,The applications include deceptive purposes such as identity theft and fraud.,Visual,The focus is on visual media like videos and images used for deepfakes.,Holistic,No reasoning provided,8,2024,Multimedia Tools and Applications,Springer,"https://scholar.google.com/scholar?q=related:qsNBfRjNFaMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
6JZ4HV46_Sharma et al. - 2023 - Spatio-temporal convolutional neural networks for deepfake detection an empirical study.pdf,Spatio-temporal convolutional neural networks for deepfake detection: an empirical study,"VK Sharma, R Garg, Q Caudron",Video processing tasks,"Deepfakes are AI-generated videos that mimic real content, often used to deceive or impersonate individuals.",Original-to-Target Transfer,"The paper discusses deepfakes involving identity replacement, such as face swapping.",Deceptive,The detection methods may be used for malicious purposes like deception.,Visual,The focus is on video-based deepfakes.,Holistic,"ST-CNNs process entire videos, indicating holistic manipulation.",4,2023,2023 Second International …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:j4yhaWzLrkIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
EEMW75KT_Napshin et al. - 2024 - Individual Responsibility Around Deepfakes It's No Laughing Matter.pdf,Individual Responsibility Around Deepfakes: It's No Laughing Matter,"S Napshin, J Paul, J Cochran",Understanding the factors influencing individual's perception of responsibility regarding deepfakes,Deepfakes are technologies used to create convincing digital representations that can manipulate identities or attributes for various purposes.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, fitting the original-to-target transfer category.",Deceptive,"While the study focuses on perceptions rather than explicit intent, it relates to real-world applications where deepfakes could be used for harmful purposes, hence non-deceptive intent.",Visual,The paper primarily discusses visual deepfakes in the form of images and videos.,Targeted Attribute,"The study mentions younger participants finding deepfakes humorous due to attribute changes like age and expression, indicating targeted manipulations.",2,2024,"Cyberpsychology, Behavior, and …",liebertpub.com,"https://scholar.google.com/scholar?q=related:wnRCVeA2cRYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
journal.pone.0285333.pdf,Warning: Humans cannot reliably detect speech deepfakes,"KT Mai, S Bray, T Davies, LD Griffin",Speech manipulation and face swapping,"Deepfakes used for identity transfer, where attributes like faces are swapped or modified using deep learning models.",Original-to-Target Transfer,"The paper discusses speech and face deepfakes involving identity swapping, which is a form of original-to-target transfer.",Deceptive,The focus on detection limitations implies the deepfakes are used for deceptive purposes like identity theft or fraud.,Visual,The paper primarily deals with visual media types such as speech and face manipulation.,Holistic,"The examples provided involve complete identity replacement, indicating holistic manipulation.",69,2023,Plos one,journals.plos.org,"https://scholar.google.com/scholar?q=related:vkZqJDM4CiMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
H7UVUF6H_Khalid et al. - 2021 - FakeAVCeleb A novel audio-video multimodal deepfake dataset.pdf,FakeAVCeleb: A novel audio-video multimodal deepfake dataset,"H Khalid, S Tariq, M Kim, SS Woo",Detection of deepfakes,Deepfakes are AI-generated audio and video content designed to impersonate real identities.,Original-to-Target Transfer,"The dataset includes deepfake videos with face swaps, indicating identity replacement.",Non-deceptive,"The paper focuses on providing a dataset for detection systems, which is legitimate.",Multimodal,"The dataset combines video and audio, covering multiple media types.",Holistic,The dataset includes targeted face swaps and holistic audio generation.,267,2021,arXiv preprint arXiv:2108.05080,arxiv.org,"https://scholar.google.com/scholar?q=related:kZMdTpGNSswJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
L4WTL3MJ_Wiederhold - 2021 - Can deepfakes improve therapy.pdf,Can deepfakes improve therapy?,BK Wiederhold,Education and therapy enhancement through VR experiences,"Synthetic media created using AI and ML to create convincing images, videos, or audio that mimic real-world environments or people.",Original Modification,The paper discusses realistic VR experiences where attributes like expressions are modified to match real-world environments.,Non-deceptive,"The deepfakes are used for therapeutic purposes, which is non-deceptive.",Visual,The paper focuses on visual media in the form of VR experiences.,Targeted Attribute,The deepfakes modify specific attributes like expressions to enhance learning and therapy.,13,2021,"Cyberpsychology, Behavior, and Social …",liebertpub.com,"https://scholar.google.com/scholar?q=related:FgIvPPBU5fwJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"UU4WV7JW_Mubarak et al. - 2023 - A survey on the detection and impacts of deepfakes in visual, audio, and textual formats.pdf","A survey on the detection and impacts of deepfakes in visual, audio, and textual formats","R Mubarak, T Alsboui, O Alshaikh, I Inuwa-Dutse…","Visual, audio, and textual formats","Deepfakes are AI-generated manipulations that can be used to create fake visual, audio, or textual content, often involving face swapping or attribute modification to deceive users.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, which fall under original-to-target transfer.",Deceptive,The survey focuses on the harmful uses of deepfakes to deceive and manipulate public perception.,Multimodal,"The paper covers various media types including visual, audio, and textual formats.",Holistic,Deepfakes in this context often involve complete identity replacement rather than specific attribute changes.,58,2023,Ieee …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:dvyHvlh4nRoJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
INLQMCQZ_Choi et al. - 2024 - Exploiting style latent flows for generalizing deepfake detection video detection.pdf,Exploiting style latent flows for generalizing deepfake detection video detection,"J Choi, T Kim, Y Jeong, S Baek, J Choi","Entertainment (movies, social media), Security (fraud, identity theft)",Artificially generated videos that use style latent vectors to mimic real faces or expressions for deceptive purposes.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping between different identities, which is an original-to-target transfer.",Deceptive,The focus of the paper is on detecting and preventing deepfakes rather than creating them for malicious purposes.,Visual,"The paper focuses on video-based content, specifically visual deepfakes.",Holistic,"The approach involves detecting anomalies in style latent vectors to identify manipulated videos, which implies a holistic manipulation level.",12,2024,arXiv e-prints,ui.adsabs.harvard.edu,"https://scholar.google.com/scholar?q=related:LF0-vLRDJLcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
HBJLHMTN_Ismail et al. - 2021 - A new deep learning-based methodology for video deepfake detection using XGBoost.pdf,A new deep learning-based methodology for video deepfake detection using XGBoost,"A Ismail, M Elpeltagy, M S. Zaki, K Eldahshan",Entertainment and social media,Artificially generated videos that involve face swapping to deceive or impersonate individuals.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred between individuals.",Deceptive,"The detection methodology aims to identify deceptive content, which is often used for malicious purposes like fraud and identity theft.",Visual,"The paper focuses on video-based visual data, specifically dealing with manipulated faces in videos.",Holistic,The deepfakes involve complete face/identity replacement rather than specific attribute changes.,126,2021,Sensors,mdpi.com,"https://scholar.google.com/scholar?q=related:Uahp9WhMss4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
EYIZ4NP3_Li et al. - 2022 - A comparative study on physical and perceptual features for deepfake audio detection.pdf,A comparative study on physical and perceptual features for deepfake audio detection,"M Li, Y Ahmadiadli, XP Zhang",Audio manipulation for detection purposes,"Artificial audio signals manipulated to appear as real recordings, often using deep learning techniques.",Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Audio,No reasoning provided,Holistic,No reasoning provided,30,2022,… 1st International Workshop on Deepfake …,dl.acm.org,"https://scholar.google.com/scholar?q=related:ia7Lz0gevdAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
HCCIAJMA_Campbell et al. - 2022 - Preparing for an era of deepfakes and AI-generated ads A framework for understanding responses to m.pdf,Preparing for an era of deepfakes and AI-generated ads: A framework for understanding responses to manipulated advertising,"C Campbell, K Plangger, S Sands…",Marketing through AI-generated content,"Deepfakes in this context refer to AI-generated manipulations of advertising content, such as synthetic ads with altered or swapped faces.",Original-to-Target Transfer,No reasoning provided,Non-deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,275,2022,Journal of …,Taylor &Francis,"https://scholar.google.com/scholar?q=related:BwV3H_Oa4lgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
S3YI2C6G_Nawaz et al. - 2023 - ResNet-Swish-Dense54 a deep learning approach for deepfakes detection.pdf,ResNet-Swish-Dense54: a deep learning approach for deepfakes detection,"M Nawaz, A Javed, A Irtaza",Entertainment and social media,Artificially generated fake videos that swap or alter human identities to deceive,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are replaced, fitting the original-to-target transfer category.",Deceptive,"The detection of malicious deepfakes for harmful purposes is the intent, as indicated by their use in harassment and blackmail.",Visual,The focus on video frames makes visual modality appropriate.,Holistic,Face swapping involves holistic identity replacement.,29,2023,The Visual Computer,Springer,"https://scholar.google.com/scholar?q=related:EHXn7ob3BBAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S2666920X21000345-main.pdf,"Children as creators, thinkers and citizens in an AI-driven future","S Ali, D DiPaola, I Lee, V Sindato, G Kim…","Social media platforms (e.g., Instagram, TikTok) for creating content such as Deepfakes of people to spread misinformation or create entertaining content.",Deepfakes are artificially generated images or videos that manipulate identities through techniques like face swapping.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, which are examples of original-to-target transfer.",Non-deceptive,"The focus is on teaching responsible use rather than malicious purposes, hence non-deceptive intent.",Visual,Deepfakes in this context involve visual media like images or videos.,Holistic,The deepfakes involve complete identity transformation through face swapping.,146,2021,… : Artificial Intelligence,Elsevier,"https://scholar.google.com/scholar?q=related:ROV9bt-SCzAJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
KCU89SVZ_Rashid et al. - 2021 - Blockchain technology for combating deepfake and protect videoimage integrity.pdf,Blockchain technology for combating deepfake and protect video/image integrity,"MM Rashid, SH Lee, KR Kwon","Entertainment (movies, social media), Identity theft/fraud, Political manipulation, Pornography",Deepfakes are artificial manipulations of digital content used to deceive or misrepresent facts.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is a form of identity transfer from one person to another.",Deceptive,"The applications mentioned include fraud, identity theft, and political manipulation, all of which are deceptive purposes.",Visual,The examples provided focus on video-based visual content.,Both Targeted and Holistic,The deepfakes involve both specific attribute changes (like age) and complete identity replacement.,36,2021,Journal of Korea Multimedia …,koreascience.kr,"https://scholar.google.com/scholar?q=related:ShA60hZ-C_YJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
8R4ULBK3_Kumar and Alraisi - 2022 - Deepfakes audio detection techniques using deep convolutional neural network.pdf,Deepfakes audio detection techniques using deep convolutional neural network,"B Kumar, SR Alraisi","Identity theft, cyber warfare, fraud prevention",Not explicitly defined but used for malicious purposes like identity theft.,Mixed Types,"The paper does not specify if it involves face swapping or attribute changes, as it focuses on audio detection.",Deceptive,"The intent is to prevent fraudulent activities like identity theft and cyber warfare, which are deceptive purposes.",Audio,"The focus is on detecting audio-based deepfakes, making the modality 'Audio'.",Targeted Attribute,No reasoning provided,12,2022,"… on Machine Learning, Big Data, Cloud …",ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:rhOKybyuFpcJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
s00521-023-09196-3.pdf,An ensemble of CNNs with self-attention mechanism for DeepFake video detection,"K Omar, RH Sakr, MF Alrahmawy","Identity fraud, Hoaxes, Fake news",Artificially generated videos that manipulate faces to impersonate individuals for malicious purposes such as identity theft or deception.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred from one person to another.",Deceptive,The intent is deceptive as these deepfakes are used for harmful purposes like identity fraud and fake news.,Visual,"The focus is on video-based visual content, making it a 'Visual' modality.",Holistic,"The deepfakes involve complete replacement of entire identities, indicating a holistic approach.",19,2024,Neural Computing and Applications,Springer,"https://scholar.google.com/scholar?q=related:L-wsyTv_RO8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S2666281722000762-main.pdf,Deepfake noise investigation and detection,"T Wang, M Liu, W Cao, KP Chow","Entertainment (movies, social media, fun apps)",Artificially generated images with synthetic faces that include added noise to mimic real faces.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and background manipulation, which are forms of identity transfer.",Deceptive,The intent is deceptive as these deepfakes aim to deceive users by spreading false information.,Visual,The focus is on visual media (images) used for entertainment purposes.,Targeted Attribute,The manipulation involves targeted attributes like faces and backgrounds.,25,2022,Forensic Science International: Digital …,Elsevier,"https://scholar.google.com/scholar?q=related:T_YV7ohxtV0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S088523082300116X-main.pdf,Integrating frame-level boundary detection and deepfake detection for locating manipulated regions in partially spoofed audio forgery attacks,"Z Cai, M Li",Cybersecurity and surveillance,Deepfakes used to manipulate or splice audio clips within partially fake audio for forgery attacks.,Original Modification,The paper discusses audio deepfakes where specific regions of audio are manipulated without replacing entire identities.,Deceptive,"The intent is to detect and locate manipulated regions, often for malicious purposes in audio forgery attacks.",Audio,The focus is on audio media types used for manipulation.,Targeted Attribute,The deepfakes involve modifying specific frames within audio segments.,14,2024,Computer Speech &Language,Elsevier,"https://scholar.google.com/scholar?q=related:66_jCBYfkgYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
2106.12605v1.pdf,Deep fake detection: survey of facial manipulation detection solutions,"S Pashine, S Mandiya, P Gupta, R Sheikh",Entertainment and social media; identity theft/fraud; political manipulation; pornography; art/creativity; education,Deepfakes are artificial images or videos with manipulated faces created using neural networks to deceive or impersonate individuals.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Visual,No reasoning provided,Holistic,No reasoning provided,37,2021,arXiv preprint arXiv …,arxiv.org,"https://scholar.google.com/scholar?q=related:ZOJWWPPyfqUJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RS7ZB3B2_Alanazi et al. - 2023 - Improving detection of deepfakes through facial region analysis in images.pdf,Improving detection of deepfakes through facial region analysis in images,"F Alanazi, G Ushaw, G Morgan","Entertainment (movies, social media, fun apps), Identity theft/fraud, Political manipulation, Pornography (non-consensual intimate images)",Artificially generated images that manipulate facial features to create realistic identities or expressions.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred between individuals.",Deceptive,The deepfakes are used for fraudulent purposes such as identity theft and manipulation.,Visual,"The focus is on visual media, specifically images, which form the basis of these deepfakes.",Both Targeted and Holistic,"The paper discusses both specific attribute changes (e.g., age) and holistic identity transformations.",6,2023,Electronics,mdpi.com,"https://scholar.google.com/scholar?q=related:fga8sbZdEFEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
